user_idx,user_id,item_idx,item_id,rank,score
8,11,12,3,8,10.1270751953125
8,11,13,19,9,10.02072525024414
8,11,0,25,10,9.978360176086426
9,24,20,17,1,12.628177642822266
9,24,28,27,2,11.79605770111084
9,24,12,3,3,10.712287902832031
9,24,15,5,4,10.67665958404541
9,24,21,26,5,10.051280975341797
9,24,25,18,6,9.679905891418457
9,24,23,12,7,9.506797790527344
9,24,13,19,8,9.373443603515625
9,24,17,20,9,9.152551651000977
9,24,4,6,10,9.125484466552734
10,36,27,29,1,16.451740264892578
10,36,12,3,2,16.235700607299805
10,36,7,4,3,16.070629119873047
10,36,21,26,4,14.970861434936523
10,36,4,6,5,14.821130752563477
10,36,9,11,6,14.66974925994873
10,36,25,18,7,14.426904678344727
10,36,17,20,8,14.395848274230957
10,36,26,10,9,14.145384788513184
10,36,5,23,10,14.115623474121094
11,40,12,3,1,13.785178184509277
11,40,27,29,2,13.70761489868164
11,40,21,26,3,12.792488098144531
11,40,15,5,4,12.640310287475586
11,40,19,15,5,12.173582077026367
11,40,5,23,6,12.129766464233398
11,40,26,10,7,11.732193946838379
11,40,10,24,8,11.720182418823242
11,40,22,13,9,11.523611068725586
11,40,1,1,10,11.38221263885498
12,3,28,27,1,15.171022415161133
12,3,0,25,2,13.920411109924316
12,3,7,4,3,13.7831449508667
12,3,19,15,4,13.566144943237305
12,3,25,18,5,13.185291290283203
12,3,12,3,6,13.127464294433594
12,3,15,5,7,13.073385238647461
12,3,21,26,8,12.737483978271484
12,3,10,24,9,12.508719444274902
12,3,11,9,10,12.141304969787598
13,22,27,29,1,15.177431106567383
13,22,0,25,2,13.029934883117676
13,22,15,5,3,12.931143760681152
13,22,7,4,4,12.783366203308105
13,22,25,18,5,12.543856620788574
13,22,10,24,6,12.485749244689941
13,22,2,21,7,12.470955848693848
13,22,21,26,8,12.303499221801758
13,22,12,3,9,11.724801063537598
13,22,23,12,10,11.570547103881836
14,2,7,4,1,15.765007972717285
14,2,20,17,2,15.575674057006836
14,2,27,29,3,15.375598907470703
14,2,28,27,4,14.335050582885742
14,2,1,1,5,13.775988578796387
14,2,5,23,6,13.652643203735352
14,2,0,25,7,13.592798233032227
14,2,14,8,8,13.252741813659668
14,2,8,30,9,13.096735954284668
14,2,3,22,10,12.856192588806152
15,44,27,29,1,12.092086791992188
15,44,20,17,2,11.74984073638916
15,44,16,2,3,11.131957054138184
15,44,2,21,4,10.441065788269043
15,44,8,30,5,10.30924129486084
15,44,13,19,6,10.104020118713379
15,44,0,25,7,10.091300964355469
15,44,21,26,8,9.974063873291016
15,44,3,22,9,9.972465515136719
15,44,14,8,10,9.890876770019531
16,30,12,3,1,13.699681282043457
16,30,15,5,2,13.292525291442871
16,30,0,25,3,12.833222389221191
16,30,8,30,4,12.238426208496094
16,30,27,29,5,12.120450973510742
16,30,21,26,6,11.555743217468262
16,30,22,13,7,11.516939163208008
16,30,1,1,8,11.250092506408691
16,30,5,23,9,11.221660614013672
16,30,4,6,10,11.22104263305664
17,38,7,4,1,13.74693775177002
17,38,20,17,2,12.576497077941895
17,38,15,5,3,12.471270561218262
17,38,13,19,4,12.451904296875
17,38,8,30,5,11.853309631347656
17,38,28,27,6,11.304621696472168
17,38,2,21,7,11.165749549865723
17,38,9,11,8,11.068795204162598
17,38,23,12,9,10.96133041381836
17,38,0,25,10,10.763827323913574
18,33,20,17,1,19.154788970947266
18,33,7,4,2,17.549455642700195
18,33,8,30,3,16.90230369567871
18,33,5,23,4,16.867595672607422
18,33,19,15,5,16.68035125732422
18,33,9,11,6,16.20028305053711
18,33,16,2,7,16.087142944335938
18,33,14,8,8,15.462035179138184
18,33,21,26,9,14.981927871704102
18,33,11,9,10,14.812864303588867
19,12,0,25,1,17.643798828125
19,12,20,17,2,17.183523178100586
19,12,14,8,3,16.66717529296875
19,12,21,26,4,16.01459312438965
19,12,19,15,5,15.590709686279297
19,12,1,1,6,15.588457107543945
19,12,3,22,7,15.376949310302734
19,12,8,30,8,15.351381301879883
19,12,2,21,9,14.798514366149902
19,12,18,28,10,14.684982299804688
20,25,27,29,1,18.425168991088867
20,25,7,4,2,16.98075294494629
20,25,15,5,3,16.18276596069336
20,25,8,30,4,15.925274848937988
20,25,19,15,5,15.865596771240234
20,25,14,8,6,15.429931640625
20,25,0,25,7,15.019919395446777
20,25,13,19,8,14.545703887939453
20,25,1,1,9,14.44046688079834
20,25,22,13,10,13.406859397888184
21,49,7,4,1,19.298656463623047
21,49,28,27,2,18.6968994140625
21,49,5,23,3,18.060871124267578
21,49,19,15,4,17.643177032470703
21,49,12,3,5,17.462055206298828
21,49,2,21,6,17.39710807800293
21,49,16,2,7,17.129432678222656
21,49,11,9,8,16.143035888671875
21,49,13,19,9,16.131423950195312
21,49,23,12,10,15.877569198608398
22,27,0,25,1,14.22156810760498
22,27,28,27,2,12.942506790161133
22,27,16,2,3,12.937871932983398
22,27,7,4,4,12.331903457641602
22,27,1,1,5,12.262735366821289
22,27,15,5,6,12.240434646606445
22,27,21,26,7,12.162416458129883
22,27,5,23,8,12.06946849822998
22,27,12,3,9,12.052722930908203
22,27,11,9,10,11.966480255126953
23,42,16,2,1,14.43002700805664
23,42,21,26,2,13.99035930633545
23,42,17,20,3,13.222905158996582
23,42,12,3,4,13.117568969726562
23,42,15,5,5,12.976266860961914
23,42,14,8,6,12.819001197814941
23,42,13,19,7,12.816243171691895
23,42,3,22,8,12.674369812011719
23,42,4,6,9,12.436003684997559
23,42,10,24,10,12.337059020996094
24,28,5,23,1,19.257478713989258
24,28,15,5,2,19.167890548706055
24,28,8,30,3,18.152002334594727
24,28,1,1,4,17.54853057861328
24,28,26,10,5,17.08171272277832
24,28,23,12,6,17.049230575561523
24,28,2,21,7,16.810583114624023
24,28,14,8,8,16.548057556152344
24,28,22,13,9,16.47938346862793
24,28,10,24,10,16.44803810119629
25,16,27,29,1,11.858333587646484
25,16,4,6,2,11.100711822509766
25,16,15,5,3,11.073578834533691
25,16,9,11,4,10.927492141723633
25,16,28,27,5,10.586956024169922
25,16,2,21,6,10.564956665039062
25,16,10,24,7,10.564729690551758
25,16,0,25,8,10.528267860412598
25,16,17,20,9,10.405949592590332
25,16,1,1,10,10.115724563598633
26,47,1,1,1,17.05795669555664
26,47,12,3,2,16.439210891723633
26,47,15,5,3,16.02263641357422
26,47,25,18,4,15.839021682739258
26,47,9,11,5,15.666616439819336
26,47,5,23,6,15.558382034301758
26,47,14,8,7,15.51938533782959
26,47,2,21,8,15.22238540649414
26,47,3,22,9,14.547752380371094
26,47,4,6,10,14.460092544555664
27,37,7,4,1,12.610339164733887
27,37,19,15,2,12.184636116027832
27,37,1,1,3,11.869284629821777
27,37,8,30,4,11.853291511535645
27,37,9,11,5,11.814695358276367
27,37,4,6,6,11.77691650390625
27,37,14,8,7,11.6931791305542
27,37,25,18,8,10.958234786987305
27,37,18,28,9,10.278363227844238
27,37,23,12,10,10.1327543258667
28,7,20,17,1,14.140971183776855
28,7,14,8,2,13.660588264465332
28,7,15,5,3,13.146059036254883
28,7,22,13,4,12.760425567626953
28,7,2,21,5,12.633523941040039
28,7,0,25,6,12.579381942749023
28,7,16,2,7,12.565536499023438
28,7,25,18,8,12.161222457885742
28,7,28,27,9,12.072382926940918
28,7,23,12,10,11.815290451049805
29,9,20,17,1,12.039233207702637
29,9,21,26,2,11.398588180541992
29,9,7,4,3,11.354116439819336
29,9,15,5,4,10.882088661193848
29,9,27,29,5,10.827442169189453
29,9,13,19,6,9.59229850769043
29,9,12,3,7,9.441407203674316
29,9,19,15,8,9.37488842010498
29,9,11,9,9,9.315240859985352
29,9,26,10,10,9.280332565307617
30,18,20,17,1,11.850613594055176
30,18,12,3,2,11.236859321594238
30,18,27,29,3,11.122709274291992
30,18,7,4,4,11.071596145629883
30,18,8,30,5,10.872053146362305
30,18,0,25,6,10.530003547668457
30,18,2,21,7,10.37523365020752
30,18,13,19,8,9.921266555786133
30,18,19,15,9,9.733450889587402
30,18,21,26,10,9.642580032348633
31,4,12,3,1,14.441492080688477
31,4,8,30,2,13.810306549072266
31,4,16,2,3,13.204557418823242
31,4,5,23,4,13.066545486450195
31,4,27,29,5,12.902905464172363
31,4,20,17,6,12.720165252685547
31,4,25,18,7,12.138206481933594
31,4,0,25,8,12.082423210144043
31,4,18,28,9,11.804252624511719
31,4,23,12,10,11.690207481384277
32,14,15,5,1,15.168636322021484
32,14,7,4,2,14.666206359863281
32,14,0,25,3,13.790950775146484
32,14,8,30,4,13.540472984313965
32,14,27,29,5,12.892451286315918
32,14,4,6,6,12.80064868927002
32,14,22,13,7,12.553033828735352
32,14,10,24,8,11.508769035339355
32,14,17,20,9,11.474562644958496
32,14,11,9,10,11.384967803955078
33,50,20,17,1,7.833276271820068
33,50,12,3,2,7.807516098022461
33,50,16,2,3,7.630091667175293
33,50,28,27,4,7.323997497558594
33,50,7,4,5,6.674596786499023
33,50,5,23,6,6.579990386962891
33,50,26,10,7,6.403018951416016
33,50,14,8,8,6.391055107116699
33,50,2,21,9,6.263633728027344
33,50,11,9,10,6.227423191070557
34,26,20,17,1,13.752725601196289
34,26,22,13,2,13.159782409667969
34,26,27,29,3,12.597135543823242
34,26,4,6,4,12.35837173461914
34,26,11,9,5,12.333629608154297
34,26,21,26,6,12.158306121826172
34,26,8,30,7,11.952714920043945
34,26,5,23,8,11.654208183288574
34,26,17,20,9,11.482231140136719
34,26,28,27,10,11.323029518127441
35,20,20,17,1,15.589625358581543
35,20,1,1,2,13.61921501159668
35,20,8,30,3,13.540973663330078
35,20,17,20,4,13.224810600280762
35,20,25,18,5,13.149785995483398
35,20,15,5,6,12.867734909057617
35,20,28,27,7,12.779804229736328
35,20,4,6,8,12.618712425231934
35,20,13,19,9,12.505265235900879
35,20,11,9,10,12.472211837768555
36,35,12,3,1,21.77896499633789
36,35,10,24,2,21.27581214904785
36,35,0,25,3,21.26233673095703
36,35,14,8,4,20.39629364013672
36,35,11,9,5,19.84981346130371
36,35,18,28,6,18.99976921081543
36,35,4,6,7,18.445709228515625
36,35,17,20,8,17.931339263916016
36,35,13,19,9,17.25677490234375
36,35,26,10,10,16.9302978515625
37,17,20,17,1,13.134504318237305
37,17,28,27,2,10.571056365966797
37,17,15,5,3,10.535028457641602
37,17,13,19,4,10.41661262512207
37,17,25,18,5,10.2962007522583
37,17,9,11,6,10.229720115661621
37,17,23,12,7,9.861555099487305
37,17,14,8,8,9.740081787109375
37,17,16,2,9,9.739879608154297
37,17,8,30,10,9.671042442321777
38,6,20,17,1,15.624053955078125
38,6,7,4,2,14.482173919677734
38,6,0,25,3,13.977198600769043
38,6,27,29,4,13.958139419555664
38,6,12,3,5,13.092859268188477
38,6,28,27,6,12.721315383911133
38,6,18,28,7,12.459135055541992
38,6,26,10,8,12.257463455200195
38,6,14,8,9,12.13869857788086
38,6,13,19,10,11.930593490600586
39,34,12,3,1,12.04232406616211
39,34,20,17,2,11.815325736999512
39,34,7,4,3,11.681844711303711
39,34,25,18,4,10.743319511413574
39,34,27,29,5,10.735296249389648
39,34,16,2,6,10.57741641998291
39,34,21,26,7,10.002767562866211
39,34,2,21,8,9.979565620422363
39,34,8,30,9,9.914226531982422
39,34,3,22,10,9.60949420928955
40,10,20,17,1,12.299761772155762
40,10,1,1,2,10.62886905670166
40,10,7,4,3,10.07509708404541
40,10,5,23,4,9.898872375488281
40,10,15,5,5,9.852594375610352
40,10,19,15,6,9.755703926086426
40,10,21,26,7,9.669428825378418
40,10,10,24,8,9.418774604797363
40,10,22,13,9,9.119888305664062
40,10,3,22,10,9.025989532470703
41,31,20,17,1,5.605002403259277
41,31,27,29,2,5.2631964683532715
41,31,14,8,3,5.09736442565918
41,31,12,3,4,5.072913646697998
41,31,28,27,5,4.702754974365234
41,31,1,1,6,4.665818214416504
41,31,7,4,7,4.632706165313721
41,31,4,6,8,4.549341201782227
41,31,8,30,9,4.5280256271362305
41,31,5,23,10,4.4427008628845215
42,48,7,4,1,12.325081825256348
42,48,27,29,2,11.890138626098633
42,48,1,1,3,11.428241729736328
42,48,16,2,4,10.823478698730469
42,48,21,26,5,10.646435737609863
42,48,19,15,6,10.496294021606445
42,48,12,3,7,10.429912567138672
42,48,13,19,8,10.332995414733887
42,48,28,27,9,10.148591041564941
42,48,3,22,10,9.838955879211426
43,45,8,30,1,21.21855354309082
43,45,21,26,2,20.003353118896484
43,45,9,11,3,19.447494506835938
43,45,0,25,4,18.899866104125977
43,45,22,13,5,18.74076271057129
43,45,18,28,6,18.465232849121094
43,45,13,19,7,18.304513931274414
43,45,16,2,8,18.066234588623047
43,45,23,12,9,18.053415298461914
43,45,4,6,10,17.456972122192383
44,41,20,17,1,14.690681457519531
44,41,27,29,2,13.293889999389648
44,41,1,1,3,13.190441131591797
44,41,5,23,4,13.16939926147461
44,41,25,18,5,12.557572364807129
44,41,2,21,6,12.519604682922363
44,41,12,3,7,12.507546424865723
44,41,16,2,8,11.974652290344238
44,41,0,25,9,11.91480541229248
44,41,13,19,10,11.207188606262207
45,1,20,17,1,15.188326835632324
45,1,22,13,2,14.874549865722656
45,1,16,2,3,14.796554565429688
45,1,14,8,4,14.54397964477539
45,1,27,29,5,14.342880249023438
45,1,28,27,6,14.232105255126953
45,1,5,23,7,14.202258110046387
45,1,13,19,8,13.816752433776855
45,1,4,6,9,13.753894805908203
45,1,25,18,10,13.345924377441406
46,5,20,17,1,13.537731170654297
46,5,27,29,2,12.421558380126953
46,5,15,5,3,11.813785552978516
46,5,2,21,4,11.6810302734375
46,5,4,6,5,11.575014114379883
46,5,28,27,6,11.46700668334961
46,5,1,1,7,11.334700584411621
46,5,0,25,8,10.768464088439941
46,5,22,13,9,10.7020263671875
46,5,9,11,10,10.339014053344727
47,13,5,23,1,16.231651306152344
47,13,7,4,2,16.135128021240234
47,13,2,21,3,15.272988319396973
47,13,11,9,4,15.250807762145996
47,13,8,30,5,15.144838333129883
47,13,22,13,6,15.103124618530273
47,13,16,2,7,15.012331008911133
47,13,28,27,8,14.9611177444458
47,13,1,1,9,14.696866989135742
47,13,21,26,10,14.35166072845459
48,32,27,29,1,19.184532165527344
48,32,20,17,2,19.043113708496094
48,32,2,21,3,18.12971305847168
48,32,5,23,4,17.643692016601562
48,32,11,9,5,17.412702560424805
48,32,10,24,6,17.015403747558594
48,32,19,15,7,16.654624938964844
48,32,23,12,8,16.534427642822266
48,32,28,27,9,16.032894134521484
48,32,26,10,10,15.775837898254395
49,46,20,17,1,9.394071578979492
49,46,7,4,2,7.815442085266113
49,46,1,1,3,7.7276153564453125
49,46,5,23,4,7.507306098937988
49,46,12,3,5,7.502830982208252
49,46,15,5,6,7.4101104736328125
49,46,0,25,7,7.170200824737549
49,46,2,21,8,6.949975967407227
49,46,24,14,9,6.933562755584717
49,46,17,20,10,6.917952060699463
